mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					mf				
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							A tempo rubato		
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							marcato		
1	1	0	0	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	0		ornamentShortTrill			
1	1	2	2	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	1				0	
1	1	17/8	17/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	2				0	
1	1	9/4	9/4	0.75	9/16	9/16	Chord	3/4	1	1	3/16		1/8	3/2	3					
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	4					
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	5		ornamentShortTrill			
1	1	2	2	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	6				1	
1	1	17/8	17/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	7				1	
1	1	9/4	9/4	0.75	9/16	9/16	Chord	3/4	2	1	3/16		1/8	3/2	8					
1	1	1	1	0.0	1/4	1/4	Dynamic	3/4	2	2	0					p				
1	1	1	1	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	9					
2	2	3	3	0.0	0	0	Dynamic	3/4	1	1	0					mf				
2	2	3	3	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	10		ornamentShortTrill			
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	11					
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	12		ornamentShortTrill			
2	2	4	4	0.0	1/4	1/4	Dynamic	3/4	2	2	0					p				
2	2	4	4	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	13					
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					mf				
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	14					
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	15					
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	16					
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	17		ornamentShortTrill			
3	3	8	8	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	18				2	
3	3	65/8	65/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	19				2	
3	3	33/4	33/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	20				2	
3	3	67/8	67/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	21				2	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	22					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	23					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	24					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	25					
3	3	6	6	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	26					
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	27		ornamentShortTrill			
3	3	8	8	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	28				3	
3	3	65/8	65/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	29				3	
3	3	33/4	33/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	30				3	
3	3	67/8	67/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	31				3	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	32					
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	33					
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	34		ornamentShortTrill			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	35					
4	4	23/2	23/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	36				4	
4	4	93/8	93/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	37				4	
4	4	47/4	47/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	38				4	
4	4	95/8	95/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	39					
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	40					
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	41		ornamentShortTrill			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	42					
4	4	23/2	23/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	43				5	
4	4	93/8	93/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	44				5	
4	4	47/4	47/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	45				5	
4	4	95/8	95/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	46					
4	4	10	10	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	47					
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	48		ornamentShortTrill			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	49		articAccentAbove			
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	50					
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	51		ornamentShortTrill			
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	52					
5	5	13	13	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	53					
6	6	15	15	4.0	0	0	Chord	3/4	1	1	1		1	1	54					
6	6	24	24	0.5	9/4	9/4	Chord	3/4	1	1	1/8		1/8	1	55		articAccentAbove			
6	6	49/2	49/2	0.5	19/8	19/8	Chord	3/4	1	1	1/8		1/8	1	56					
6	6	25	25	0.5	5/2	5/2	Chord	3/4	1	1	1/8		1/8	1	57					
6	6	51/2	51/2	0.5	21/8	21/8	Chord	3/4	1	1	1/8		1/8	1	58					
6	6	26	26	0.5	11/4	11/4	Chord	3/4	1	1	1/8		1/8	1	59					
6	6	53/2	53/2	0.5	23/8	23/8	Chord	3/4	1	1	1/8		1/8	1	60					
6	6	27	27	0.5	3	3	Chord	3/4	1	1	1/8		1/8	1	61					
6	6	55/2	55/2	0.5	25/8	25/8	Chord	3/4	1	1	1/8		1/8	1	62					
6	6	28	28	0.5	13/4	13/4	Chord	3/4	1	1	1/8		1/8	1	63				6	
6	6	57/2	57/2	0.5	27/8	27/8	Chord	3/4	1	1	1/8		1/8	1	64				6	
6	6	29	29	0.5	7/2	7/2	Chord	3/4	1	1	1/8		1/8	1	65				6	
6	6	59/2	59/2	0.5	29/8	29/8	Chord	3/4	1	1	1/8		1/8	1	66				6	
6	6	30	30	0.5	15/4	15/4	Chord	3/4	1	1	1/8		1/8	1	67				6	
6	6	61/2	61/2	0.5	31/8	31/8	Chord	3/4	1	1	1/8		1/8	1	68				6	
6	6	31	31	0.5	4	4	Chord	3/4	1	1	1/8		1/8	1	69				6	
6	6	63/2	63/2	0.5	33/8	33/8	Chord	3/4	1	1	1/8		1/8	1	70					
6	6	32	32	0.5	17/4	17/4	Chord	3/4	1	1	1/8		1/8	1	71				7	
6	6	65/2	65/2	0.5	35/8	35/8	Chord	3/4	1	1	1/8		1/8	1	72				7	
6	6	33	33	0.5	9/2	9/2	Chord	3/4	1	1	1/8		1/8	1	73				7	
6	6	67/2	67/2	0.5	37/8	37/8	Chord	3/4	1	1	1/8		1/8	1	74				7	
6	6	34	34	0.5	19/4	19/4	Chord	3/4	1	1	1/8		1/8	1	75				7	
6	6	69/2	69/2	0.5	39/8	39/8	Chord	3/4	1	1	1/8		1/8	1	76				7	
6	6	35	35	0.5	5	5	Chord	3/4	1	1	1/8		1/8	1	77				7	
6	6	71/2	71/2	0.5	41/8	41/8	Chord	3/4	1	1	1/8		1/8	1	78					
6	6	36	36	0.5	21/4	21/4	Chord	3/4	1	1	1/8		1/8	1	79				8	
6	6	73/2	73/2	0.5	43/8	43/8	Chord	3/4	1	1	1/8		1/8	1	80				8	
6	6	37	37	0.5	11/2	11/2	Chord	3/4	1	1	1/8		1/8	1	81				8	
6	6	75/2	75/2	0.5	45/8	45/8	Chord	3/4	1	1	1/8		1/8	1	82				8	
6	6	38	38	0.5	23/4	23/4	Chord	3/4	1	1	1/8		1/8	1	83				8	
6	6	77/2	77/2	0.5	47/8	47/8	Chord	3/4	1	1	1/8		1/8	1	84				8	
6	6	39	39	0.5	6	6	Chord	3/4	1	1	1/8		1/8	1	85				8	
6	6	79/2	79/2	0.5	49/8	49/8	Chord	3/4	1	1	1/8		1/8	1	86					
6	6	40	40	0.5	25/4	25/4	Chord	3/4	1	1	1/8		1/8	1	87				9	
6	6	81/2	81/2	0.5	51/8	51/8	Chord	3/4	1	1	1/8		1/8	1	88				9	
6	6	41	41	0.5	13/2	13/2	Chord	3/4	1	1	1/8		1/8	1	89				9	
6	6	83/2	83/2	0.5	53/8	53/8	Chord	3/4	1	1	1/8		1/8	1	90				9	
6	6	42	42	0.5	27/4	27/4	Chord	3/4	1	1	1/8		1/8	1	91				9	
6	6	85/2	85/2	0.5	55/8	55/8	Chord	3/4	1	1	1/8		1/8	1	92				9	
6	6	43	43	0.5	7	7	Chord	3/4	1	1	1/8		1/8	1	93				9	
6	6	87/2	87/2	0.5	57/8	57/8	Chord	3/4	1	1	1/8		1/8	1	94				9	
6	6	44	44	0.5	29/4	29/4	Chord	3/4	1	1	1/8		1/8	1	95				9	
6	6	89/2	89/2	0.5	59/8	59/8	Chord	3/4	1	1	1/8		1/8	1	96				9	
6	6	45	45	0.5	15/2	15/2	Chord	3/4	1	1	1/8		1/8	1	97				9	
6	6	91/2	91/2	0.5	61/8	61/8	Chord	3/4	1	1	1/8		1/8	1	98				9	
6	6	46	46	0.5	31/4	31/4	Chord	3/4	1	1	1/8		1/8	1	99				9	
6	6	93/2	93/2	0.5	63/8	63/8	Chord	3/4	1	1	1/8		1/8	1	100				9	
6	6	47	47	0.5	8	8	Chord	3/4	1	1	1/8		1/8	1	101				9	
6	6	95/2	95/2	0.5	65/8	65/8	Chord	3/4	1	1	1/8		1/8	1	102				9	
6	6	48	48	0.5	33/4	33/4	Chord	3/4	1	1	1/8		1/8	1	103				9	
6	6	97/2	97/2	0.5	67/8	67/8	Chord	3/4	1	1	1/8		1/8	1	104				9	
6	6	49	49	0.5	17/2	17/2	Chord	3/4	1	1	1/8		1/8	1	105				9	
6	6	99/2	99/2	0.5	69/8	69/8	Chord	3/4	1	1	1/8		1/8	1	106					
6	6	50	50	0.5	35/4	35/4	Chord	3/4	1	1	1/8		1/8	1	107				10	
6	6	101/2	101/2	0.5	71/8	71/8	Chord	3/4	1	1	1/8		1/8	1	108				10	
6	6	51	51	0.5	9	9	Chord	3/4	1	1	1/8		1/8	1	109				10	
6	6	103/2	103/2	0.5	73/8	73/8	Chord	3/4	1	1	1/8		1/8	1	110				10	
6	6	52	52	0.5	37/4	37/4	Chord	3/4	1	1	1/8		1/8	1	111				10	
6	6	105/2	105/2	0.5	75/8	75/8	Chord	3/4	1	1	1/8		1/8	1	112				10	
6	6	53	53	0.5	19/2	19/2	Chord	3/4	1	1	1/8		1/8	1	113				10	
6	6	107/2	107/2	0.5	77/8	77/8	Chord	3/4	1	1	1/8		1/8	1	114				10	
6	6	54	54	0.5	39/4	39/4	Chord	3/4	1	1	1/8		1/8	1	115				10	
6	6	109/2	109/2	0.5	79/8	79/8	Chord	3/4	1	1	1/8		1/8	1	116				10	
6	6	55	55	0.5	10	10	Chord	3/4	1	1	1/8		1/8	1	117				10	
6	6	111/2	111/2	0.5	81/8	81/8	Chord	3/4	1	1	1/8		1/8	1	118				10	
6	6	56	56	0.5	41/4	41/4	Chord	3/4	1	1	1/8		1/8	1	119				10	
6	6	113/2	113/2	0.5	83/8	83/8	Chord	3/4	1	1	1/8		1/8	1	120				10	
6	6	57	57	0.5	21/2	21/2	Chord	3/4	1	1	1/8		1/8	1	121				10	
6	6	115/2	115/2	0.5	85/8	85/8	Chord	3/4	1	1	1/8		1/8	1	122				10	
6	6	58	58	0.5	43/4	43/4	Chord	3/4	1	1	1/8		1/8	1	123					
6	6	117/2	117/2	0.0	87/8	87/8	Dynamic	3/4	1	1	0					f				
6	6	117/2	117/2	0.25	87/8	87/8	Chord	3/4	1	1	1/16		1/16	1	124					
6	6	235/4	235/4	0.25	175/16	175/16	Chord	3/4	1	1	1/16		1/16	1	125					
6	6	40	40	0.0	25/4	25/4	StaffText	3/4	1	3	0							dim.		
6	6	50	50	0.0	35/4	35/4	StaffText	3/4	1	3	0							rit  _    _    		
6	6	15	15	4.0	0	0	Chord	3/4	2	1	1		1	1	126					
6	6	20	20	0.5	5/4	5/4	Chord	3/4	2	1	1/8		1/8	1	127					
6	6	41/2	41/2	0.5	11/8	11/8	Chord	3/4	2	1	1/8		1/8	1	128					
6	6	21	21	0.5	3/2	3/2	Chord	3/4	2	1	1/8		1/8	1	129					
6	6	43/2	43/2	0.5	13/8	13/8	Chord	3/4	2	1	1/8		1/8	1	130					
6	6	22	22	0.5	7/4	7/4	Chord	3/4	2	1	1/8		1/8	1	131					
6	6	45/2	45/2	0.5	15/8	15/8	Chord	3/4	2	1	1/8		1/8	1	132					
6	6	23	23	0.5	2	2	Chord	3/4	2	1	1/8		1/8	1	133					
6	6	47/2	47/2	0.5	17/8	17/8	Chord	3/4	2	1	1/8		1/8	1	134					
6	6	117/2	117/2	0.25	87/8	87/8	Chord	3/4	2	1	1/16		1/16	1	135					
6	6	235/4	235/4	0.25	175/16	175/16	Chord	3/4	2	1	1/16		1/16	1	136					
6	6	15	15	0.0	0	0	Dynamic	3/4	2	2	0					f				
6	6	15	15	4.0	0	0	Chord	3/4	2	2	1		1	1	137					
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	3	1/8		1/8	1	138				11	
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8		1/8	1	139				11	
6	6	17	17	0.5	1/2	1/2	Chord	3/4	2	3	1/8		1/8	1	140				11	
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	3	1/8		1/8	1	141				11	
6	6	18	18	0.0	3/4	3/4	StaffText	3/4	2	3	0							veloce	11	
6	6	18	18	0.5	3/4	3/4	Chord	3/4	2	3	1/8		1/8	1	142				11	
6	6	37/2	37/2	0.5	7/8	7/8	Chord	3/4	2	3	1/8		1/8	1	143				11	
6	6	19	19	0.5	1	1	Chord	3/4	2	3	1/8		1/8	1	144				11	
6	6	39/2	39/2	0.5	9/8	9/8	Chord	3/4	2	3	1/8		1/8	1	145				11	
7	7	59	59	0.0	0	0	Dynamic	3/4	1	1	0					f				
7	7	59	59	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	146		ornamentShortTrill			
7	7	61	61	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	147				12	
7	7	489/8	489/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	148				12	
7	7	245/4	245/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	149				12	
7	7	491/8	491/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	150				12	
7	7	123/2	123/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	151					
7	7	60	60	0.0	1/4	1/4	Dynamic	3/4	1	3	0					p				
7	7	60	60	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	152					
7	7	59	59	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	153		ornamentShortTrill			
7	7	61	61	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	154				13	
7	7	489/8	489/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	155				13	
7	7	245/4	245/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	156				13	
7	7	491/8	491/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	157				13	
7	7	123/2	123/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	158					
7	7	60	60	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	159					
8	8	62	62	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	160		ornamentShortTrill			
8	8	63	63	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	161					
8	8	62	62	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	162		ornamentShortTrill			
8	8	63	63	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	163					
9	9	65	65	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	164					
9	9	65	65	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	165					
9	9	65	65	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	166					
9	9	65	65	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	167					
9	9	65	65	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	168		ornamentShortTrill			
9	9	67	67	0.125	1/2	1/2	Chord	3/4	1	1	1/32		1/32	1	169				14	
9	9	537/8	537/8	0.125	17/32	17/32	Chord	3/4	1	1	1/32		1/32	1	170				14	
9	9	269/4	269/4	0.125	9/16	9/16	Chord	3/4	1	1	1/32		1/32	1	171				14	
9	9	539/8	539/8	0.125	19/32	19/32	Chord	3/4	1	1	1/32		1/32	1	172				14	
9	9	135/2	135/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	173					
9	9	271/4	271/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	174					
9	9	543/8	543/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	175					
9	9	66	66	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	176					
9	9	65	65	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	177					
9	9	65	65	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	178					
9	9	65	65	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	179					
9	9	65	65	0.0	0	0	Chord	3/4	2	1	0	grace16	1/16	1	180					
9	9	65	65	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	181		ornamentShortTrill			
9	9	67	67	0.125	1/2	1/2	Chord	3/4	2	1	1/32		1/32	1	182				15	
9	9	537/8	537/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32		1/32	1	183				15	
9	9	269/4	269/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32		1/32	1	184				15	
9	9	539/8	539/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32		1/32	1	185				15	
9	9	135/2	135/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16		1/16	1	186					
9	9	271/4	271/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	187					
9	9	543/8	543/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	188					
9	9	66	66	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	189					
10	10	68	68	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	190		ornamentShortTrill			
10	10	70	70	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	191					
10	10	141/2	141/2	0.125	5/8	5/8	Chord	3/4	1	1	1/32		1/32	1	192				16	
10	10	565/8	565/8	0.125	21/32	21/32	Chord	3/4	1	1	1/32		1/32	1	193				16	
