mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	Ottava:8va
10	10	283/4	283/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	194				16	
10	10	567/8	567/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	195				16	
10	10	69	69	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	196					
10	10	68	68	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	197		ornamentShortTrill			
10	10	70	70	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	198					
10	10	141/2	141/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32		1/32	1	199					
10	10	565/8	565/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32		1/32	1	200					
10	10	283/4	283/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32		1/32	1	201					
10	10	567/8	567/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32		1/32	1	202					
10	10	69	69	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	203					
11	11	71	71	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	204		ornamentShortTrill			
11	11	73	73	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	205					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	206					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	207					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	208					
11	11	73	73	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	209					
11	11	72	72	2.0	1/4	1/4	Chord	3/4	1	3	1/2		1/2	1	210					
11	11	71	71	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	211					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	212					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	213					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	214					
11	11	73	73	0.0	1/2	1/2	Chord	3/4	2	1	0	grace16	1/16	1	215					
11	11	73	73	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	216					
11	11	72	72	2.0	1/4	1/4	Chord	3/4	2	3	1/2		1/2	1	217					
12	12	74	74	0.0	0	0	Dynamic	3/4	1	1	0					f				
12	12	74	74	0.0	0	0	StaffText	3/4	1	1	0							veloce		
12	12	74	74	4.0	0	0	Chord	3/4	1	1	1		1	1	218					
12	12	79	79	0.5	5/4	5/4	Chord	3/4	1	1	1/8		1/8	1	219					
12	12	159/2	159/2	0.5	11/8	11/8	Chord	3/4	1	1	1/8		1/8	1	220					
12	12	80	80	0.5	3/2	3/2	Chord	3/4	1	1	1/8		1/8	1	221					
12	12	161/2	161/2	0.5	13/8	13/8	Chord	3/4	1	1	1/8		1/8	1	222					
12	12	81	81	0.5	7/4	7/4	Chord	3/4	1	1	1/8		1/8	1	223					
12	12	163/2	163/2	0.5	15/8	15/8	Chord	3/4	1	1	1/8		1/8	1	224					
12	12	82	82	0.5	2	2	Chord	3/4	1	1	1/8		1/8	1	225					
12	12	165/2	165/2	0.5	17/8	17/8	Chord	3/4	1	1	1/8		1/8	1	226				17	
12	12	83	83	0.5	9/4	9/4	Chord	3/4	1	1	1/8		1/8	1	227				17	
12	12	167/2	167/2	0.5	19/8	19/8	Chord	3/4	1	1	1/8		1/8	1	228				17	
12	12	84	84	0.5	5/2	5/2	Chord	3/4	1	1	1/8		1/8	1	229				17	
12	12	169/2	169/2	0.5	21/8	21/8	Chord	3/4	1	1	1/8		1/8	1	230				17	
12	12	85	85	0.5	11/4	11/4	Chord	3/4	1	1	1/8		1/8	1	231				17	
12	12	171/2	171/2	0.5	23/8	23/8	Chord	3/4	1	1	1/8		1/8	1	232				17	
12	12	86	86	0.5	3	3	Chord	3/4	1	1	1/8		1/8	1	233				17	
12	12	173/2	173/2	0.5	25/8	25/8	Chord	3/4	1	1	1/8		1/8	1	234				17	
12	12	87	87	0.5	13/4	13/4	Chord	3/4	1	1	1/8		1/8	1	235				17	
12	12	175/2	175/2	0.5	27/8	27/8	Chord	3/4	1	1	1/8		1/8	1	236				17	
12	12	88	88	0.5	7/2	7/2	Chord	3/4	1	1	1/8		1/8	1	237				17	
12	12	177/2	177/2	0.5	29/8	29/8	Chord	3/4	1	1	1/8		1/8	1	238				17	
12	12	89	89	0.5	15/4	15/4	Chord	3/4	1	1	1/8		1/8	1	239				17	
12	12	179/2	179/2	0.5	31/8	31/8	Chord	3/4	1	1	1/8		1/8	1	240				17	
12	12	90	90	0.5	4	4	Chord	3/4	1	1	1/8		1/8	1	241					
12	12	181/2	181/2	0.5	33/8	33/8	Chord	3/4	1	1	1/8		1/8	1	242				18	
12	12	91	91	0.5	17/4	17/4	Chord	3/4	1	1	1/8		1/8	1	243				18	
12	12	183/2	183/2	0.5	35/8	35/8	Chord	3/4	1	1	1/8		1/8	1	244				18	
12	12	92	92	0.5	9/2	9/2	Chord	3/4	1	1	1/8		1/8	1	245				18	
12	12	185/2	185/2	0.125	37/8	37/8	Chord	3/4	1	1	1/32		1/32	1	246				18	
12	12	741/8	741/8	0.125	149/32	149/32	Chord	3/4	1	1	1/32		1/32	1	247				18	
12	12	371/4	371/4	0.125	75/16	75/16	Chord	3/4	1	1	1/32		1/32	1	248				18	
12	12	743/8	743/8	0.125	151/32	151/32	Chord	3/4	1	1	1/32		1/32	1	249					
12	12	74	74	4.0	0	0	Chord	3/4	2	1	1		1	1	250					
12	12	93	93	1.0	19/4	19/4	Chord	3/4	2	1	1/4		1/4	1	251		articAccentAbove		19	
12	12	74	74	4.0	0	0	Chord	3/4	2	2	1		1	1	252					
12	12	75	75	0.5	1/4	1/4	Chord	3/4	2	3	1/8		1/8	1	253					
12	12	151/2	151/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8		1/8	1	254					
12	12	76	76	0.5	1/2	1/2	Chord	3/4	2	3	1/8		1/8	1	255					
12	12	153/2	153/2	0.5	5/8	5/8	Chord	3/4	2	3	1/8		1/8	1	256					
12	12	77	77	0.5	3/4	3/4	Chord	3/4	2	3	1/8		1/8	1	257					
12	12	155/2	155/2	0.5	7/8	7/8	Chord	3/4	2	3	1/8		1/8	1	258					
12	12	78	78	0.5	1	1	Chord	3/4	2	3	1/8		1/8	1	259					
12	12	157/2	157/2	0.5	9/8	9/8	Chord	3/4	2	3	1/8		1/8	1	260					
13	13	99	99	0.5	5/4	5/4	Chord	3/4	1	1	1/8		1/8	1	261				20	
13	13	199/2	199/2	0.5	11/8	11/8	Chord	3/4	1	1	1/8		1/8	1	262				20	
13	13	100	100	0.5	3/2	3/2	Chord	3/4	1	1	1/8		1/8	1	263				20	
13	13	201/2	201/2	0.5	13/8	13/8	Chord	3/4	1	1	1/8		1/8	1	264				20	
13	13	101	101	0.0	7/4	7/4	Spanner	3/4	1	1	0								20	0
13	13	101	101	0.5	7/4	7/4	Chord	3/4	1	1	1/8		1/8	1	265				20	0
13	13	203/2	203/2	0.5	15/8	15/8	Chord	3/4	1	1	1/8		1/8	1	266				20	0
13	13	102	102	0.5	2	2	Chord	3/4	1	1	1/8		1/8	1	267				20	0
13	13	205/2	205/2	0.5	17/8	17/8	Chord	3/4	1	1	1/8		1/8	1	268				20	0
13	13	103	103	0.0	9/4	9/4	Dynamic	3/4	1	1	0					ff			20	0
13	13	103	103	0.5	9/4	9/4	Chord	3/4	1	1	1/8		1/8	1	269				20	0
13	13	207/2	207/2	0.5	19/8	19/8	Chord	3/4	1	1	1/8		1/8	1	270				20	0
13	13	104	104	0.5	5/2	5/2	Chord	3/4	1	1	1/8		1/8	1	271				20	0
13	13	209/2	209/2	0.5	21/8	21/8	Chord	3/4	1	1	1/8		1/8	1	272				20	0
13	13	105	105	0.5	11/4	11/4	Chord	3/4	1	1	1/8		1/8	1	273				20	0
13	13	211/2	211/2	0.5	23/8	23/8	Chord	3/4	1	1	1/8		1/8	1	274				20	0
13	13	106	106	0.5	3	3	Chord	3/4	1	1	1/8		1/8	1	275				20	0
13	13	213/2	213/2	0.5	25/8	25/8	Chord	3/4	1	1	1/8		1/8	1	276				20	0
13	13	107	107	0.5	13/4	13/4	Chord	3/4	1	1	1/8		1/8	1	277				20	0
13	13	215/2	215/2	0.5	27/8	27/8	Chord	3/4	1	1	1/8		1/8	1	278				20	0
13	13	108	108	0.5	7/2	7/2	Chord	3/4	1	1	1/8		1/8	1	279				20	0
13	13	217/2	217/2	0.5	29/8	29/8	Chord	3/4	1	1	1/8		1/8	1	280				20	0
13	13	109	109	0.5	15/4	15/4	Chord	3/4	1	1	1/8		1/8	1	281				20	0
13	13	219/2	219/2	0.5	31/8	31/8	Chord	3/4	1	1	1/8		1/8	1	282				20	0
13	13	110	110	0.5	4	4	Chord	3/4	1	1	1/8		1/8	1	283				20	0
13	13	221/2	221/2	0.5	33/8	33/8	Chord	3/4	1	1	1/8		1/8	1	284					0
13	13	111	111	0.5	17/4	17/4	Chord	3/4	1	1	1/8		1/8	1	285				21	0
13	13	223/2	223/2	0.0	35/8	35/8	StaffText	3/4	1	1	0							dim.	21	0
13	13	223/2	223/2	0.5	35/8	35/8	Chord	3/4	1	1	1/8		1/8	1	286				21	0
13	13	112	112	0.5	9/2	9/2	Chord	3/4	1	1	1/8		1/8	1	287				21	0
13	13	225/2	225/2	0.5	37/8	37/8	Chord	3/4	1	1	1/8		1/8	1	288				21	0
13	13	113	113	0.5	19/4	19/4	Chord	3/4	1	1	1/8		1/8	1	289				21	0
13	13	227/2	227/2	0.5	39/8	39/8	Chord	3/4	1	1	1/8		1/8	1	290				21	0
13	13	114	114	0.5	5	5	Chord	3/4	1	1	1/8		1/8	1	291				21	0
13	13	229/2	229/2	0.5	41/8	41/8	Chord	3/4	1	1	1/8		1/8	1	292					0
13	13	115	115	0.5	21/4	21/4	Chord	3/4	1	1	1/8		1/8	1	293				22	0
13	13	231/2	231/2	0.5	43/8	43/8	Chord	3/4	1	1	1/8		1/8	1	294				22	0
13	13	116	116	0.5	11/2	11/2	Chord	3/4	1	1	1/8		1/8	1	295				22	0
13	13	233/2	233/2	0.5	45/8	45/8	Chord	3/4	1	1	1/8		1/8	1	296				22	0
13	13	117	117	0.5	23/4	23/4	Chord	3/4	1	1	1/8		1/8	1	297				22	0
13	13	235/2	235/2	0.5	47/8	47/8	Chord	3/4	1	1	1/8		1/8	1	298				22	0
13	13	118	118	0.5	6	6	Chord	3/4	1	1	1/8		1/8	1	299				22	0
13	13	237/2	237/2	0.5	49/8	49/8	Chord	3/4	1	1	1/8		1/8	1	300					0
13	13	119	119	0.5	25/4	25/4	Chord	3/4	1	1	1/8		1/8	1	301				23	0
13	13	239/2	239/2	0.5	51/8	51/8	Chord	3/4	1	1	1/8		1/8	1	302				23	0
13	13	120	120	0.5	13/2	13/2	Chord	3/4	1	1	1/8		1/8	1	303				23	0
13	13	241/2	241/2	0.5	53/8	53/8	Chord	3/4	1	1	1/8		1/8	1	304				23	0
13	13	121	121	0.5	27/4	27/4	Chord	3/4	1	1	1/8		1/8	1	305				23	0
13	13	243/2	243/2	0.5	55/8	55/8	Chord	3/4	1	1	1/8		1/8	1	306				23	0
13	13	122	122	0.5	7	7	Chord	3/4	1	1	1/8		1/8	1	307				23	0
13	13	245/2	245/2	0.5	57/8	57/8	Chord	3/4	1	1	1/8		1/8	1	308					0
13	13	123	123	0.5	29/4	29/4	Chord	3/4	1	1	1/8		1/8	1	309				24	0
13	13	247/2	247/2	0.5	59/8	59/8	Chord	3/4	1	1	1/8		1/8	1	310				24	0
13	13	124	124	0.5	15/2	15/2	Chord	3/4	1	1	1/8		1/8	1	311				24	0
13	13	249/2	249/2	0.5	61/8	61/8	Chord	3/4	1	1	1/8		1/8	1	312				24	0
13	13	125	125	0.5	31/4	31/4	Chord	3/4	1	1	1/8		1/8	1	313				24	0
13	13	251/2	251/2	0.5	63/8	63/8	Chord	3/4	1	1	1/8		1/8	1	314				24	0
13	13	126	126	0.5	8	8	Chord	3/4	1	1	1/8		1/8	1	315				24	0
13	13	253/2	253/2	0.5	65/8	65/8	Chord	3/4	1	1	1/8		1/8	1	316					0
13	13	94	94	4.0	0	0	Chord	3/4	2	1	1		1	1	317					
13	13	94	94	4.0	0	0	Chord	3/4	2	2	1		1	1	318		articAccentBelow			
13	13	95	95	0.5	1/4	1/4	Chord	3/4	2	3	1/8		1/8	1	319				25	
13	13	191/2	191/2	0.5	3/8	3/8	Chord	3/4	2	3	1/8		1/8	1	320				25	
13	13	96	96	0.5	1/2	1/2	Chord	3/4	2	3	1/8		1/8	1	321				25	
13	13	193/2	193/2	0.5	5/8	5/8	Chord	3/4	2	3	1/8		1/8	1	322				25	
13	13	97	97	0.5	3/4	3/4	Chord	3/4	2	3	1/8		1/8	1	323				25	
13	13	195/2	195/2	0.5	7/8	7/8	Chord	3/4	2	3	1/8		1/8	1	324				25	
13	13	98	98	0.5	1	1	Chord	3/4	2	3	1/8		1/8	1	325				25	
13	13	197/2	197/2	0.5	9/8	9/8	Chord	3/4	2	3	1/8		1/8	1	326					
14	13	127	127	0.0	0	0	Dynamic	3/4	1	1	0					p				0
14	13	127	127	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	327				26	0
14	13	255/2	255/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	328				26	0
14	13	128	128	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	329				26	0
14	13	257/2	257/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	330				26	0
14	13	129	129	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	331				26	0
14	13	259/2	259/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	332				26	0
14	13	130	130	0.5	3/4	3/4	Chord	3/4	1	1	1/8		1/8	1	333				26	0
14	13	261/2	261/2	0.5	7/8	7/8	Chord	3/4	1	1	1/8		1/8	1	334				26	0
14	13	131	131	0.5	1	1	Chord	3/4	1	1	1/8		1/8	1	335				26	0
14	13	263/2	263/2	0.5	9/8	9/8	Chord	3/4	1	1	1/8		1/8	1	336				26	0
14	13	132	132	0.5	5/4	5/4	Chord	3/4	1	1	1/8		1/8	1	337				26	0
14	13	265/2	265/2	0.5	11/8	11/8	Chord	3/4	1	1	1/8		1/8	1	338				26	0
14	13	133	133	0.5	3/2	3/2	Chord	3/4	1	1	1/8		1/8	1	339				26	0
14	13	267/2	267/2	0.5	13/8	13/8	Chord	3/4	1	1	1/8		1/8	1	340				26	0
14	13	134	134	0.5	7/4	7/4	Chord	3/4	1	1	1/8		1/8	1	341				26	0
14	13	269/2	269/2	0.5	15/8	15/8	Chord	3/4	1	1	1/8		1/8	1	342				26	0
14	13	135	135	0.0	2	2	Spanner	3/4	1	1	0								26	
14	13	135	135	0.5	2	2	Chord	3/4	1	1	1/8		1/8	1	343				26	
14	13	271/2	271/2	0.5	17/8	17/8	Chord	3/4	1	1	1/8		1/8	1	344				26	
14	13	136	136	0.5	9/4	9/4	Chord	3/4	1	1	1/8		1/8	1	345				26	
14	13	273/2	273/2	0.5	19/8	19/8	Chord	3/4	1	1	1/8		1/8	1	346				26	
14	13	137	137	0.5	5/2	5/2	Chord	3/4	1	1	1/8		1/8	1	347				26	
14	13	275/2	275/2	0.5	21/8	21/8	Chord	3/4	1	1	1/8		1/8	1	348				26	
14	13	138	138	0.5	11/4	11/4	Chord	3/4	1	1	1/8		1/8	1	349				26	
14	13	277/2	277/2	0.5	23/8	23/8	Chord	3/4	1	1	1/8		1/8	1	350				26	
14	13	139	139	0.5	3	3	Chord	3/4	1	1	1/8		1/8	1	351				26	
14	13	279/2	279/2	0.5	25/8	25/8	Chord	3/4	1	1	1/8		1/8	1	352				26	
14	13	140	140	0.5	13/4	13/4	Chord	3/4	1	1	1/8		1/8	1	353				26	
14	13	281/2	281/2	0.5	27/8	27/8	Chord	3/4	1	1	1/8		1/8	1	354				26	
14	13	141	141	0.5	7/2	7/2	Chord	3/4	1	1	1/8		1/8	1	355				26	
14	13	283/2	283/2	0.5	29/8	29/8	Chord	3/4	1	1	1/8		1/8	1	356				26	
14	13	142	142	0.5	15/4	15/4	Chord	3/4	1	1	1/8		1/8	1	357				26	
14	13	285/2	285/2	0.5	31/8	31/8	Chord	3/4	1	1	1/8		1/8	1	358				26	
14	13	143	143	0.5	4	4	Chord	3/4	1	1	1/8		1/8	1	359				26	
14	13	287/2	287/2	0.5	33/8	33/8	Chord	3/4	1	1	1/8		1/8	1	360				26	
14	13	144	144	0.5	17/4	17/4	Chord	3/4	1	1	1/8		1/8	1	361				26	
14	13	289/2	289/2	0.5	35/8	35/8	Chord	3/4	1	1	1/8		1/8	1	362				26	
14	13	145	145	0.0	9/2	9/2	StaffText	3/4	1	1	0							rit. _ 	26	
14	13	145	145	0.5	9/2	9/2	Chord	3/4	1	1	1/8		1/8	1	363				26	
14	13	291/2	291/2	0.5	37/8	37/8	Chord	3/4	1	1	1/8		1/8	1	364				26	
14	13	146	146	0.5	19/4	19/4	Chord	3/4	1	1	1/8		1/8	1	365				26	
14	13	293/2	293/2	0.5	39/8	39/8	Chord	3/4	1	1	1/8		1/8	1	366				26	
14	13	147	147	0.5	5	5	Chord	3/4	1	1	1/8		1/8	1	367				26	
14	13	295/2	295/2	0.5	41/8	41/8	Chord	3/4	1	1	1/8		1/8	1	368				26	
14	13	148	148	0.5	21/4	21/4	Chord	3/4	1	1	1/8		1/8	1	369				26	
14	13	297/2	297/2	0.5	43/8	43/8	Chord	3/4	1	1	1/8		1/8	1	370				26	
14	13	149	149	0.5	11/2	11/2	Chord	3/4	1	1	1/8		1/8	1	371				26	
14	13	299/2	299/2	0.5	45/8	45/8	Chord	3/4	1	1	1/8		1/8	1	372				26	
14	13	150	150	0.5	23/4	23/4	Chord	3/4	1	1	1/8		1/8	1	373				26	
14	13	301/2	301/2	0.5	47/8	47/8	Chord	3/4	1	1	1/8		1/8	1	374					
14	13	151	151	0.0	6	6	Dynamic	3/4	1	1	0					mf				
14	13	151	151	0.5	6	6	Chord	3/4	1	1	1/8		1/8	1	375				27	
14	13	303/2	303/2	0.5	49/8	49/8	Chord	3/4	1	1	1/8		1/8	1	376				27	
14	13	152	152	0.5	25/4	25/4	Chord	3/4	1	1	1/8		1/8	1	377				27	
14	13	305/2	305/2	0.5	51/8	51/8	Chord	3/4	1	1	1/8		1/8	1	378				27	
14	13	153	153	0.5	13/2	13/2	Chord	3/4	1	1	1/8		1/8	1	379				27	
14	13	307/2	307/2	0.5	53/8	53/8	Chord	3/4	1	1	1/8		1/8	1	380				27	
14	13	154	154	0.5	27/4	27/4	Chord	3/4	1	1	1/8		1/8	1	381				27	
14	13	309/2	309/2	0.5	55/8	55/8	Chord	3/4	1	1	1/8		1/8	1	382				27	
14	13	155	155	0.5	7	7	Chord	3/4	1	1	1/8		1/8	1	383				27	
14	13	311/2	311/2	0.5	57/8	57/8	Chord	3/4	1	1	1/8		1/8	1	384				27	
14	13	156	156	0.5	29/4	29/4	Chord	3/4	1	1	1/8		1/8	1	385				27	
14	13	313/2	313/2	0.5	59/8	59/8	Chord	3/4	1	1	1/8		1/8	1	386					
